Title,Date,Time,Positive,Negative,Bewertung
Sieglinde F.,09.04.2015,10:08," schnelle, problemlose Kontoeröffnung. Guter Telefonservice.", -,10
Tobias H.,08.04.2015,11:56," Telefonservice Schnelle Bearbeitung, gute Zinsen", Alles ok.,10
Karl Jürgen L.,08.04.2015,11:51, schnelle Reaktion und Kontoeröffnung, nichts,10
Katharina Claudia Sylvia G.,08.04.2015,10:23, schnelle und problemlose Kontoeröffnung, -,9
Michael R.,08.04.2015,07:09, Es funktioniert sehr schnell und unkompliziert., -,10
Marion M.,07.04.2015,20:47, Die persönliche Kontaktaufnahme nach missglückter Postident, -,10
Frank P.,07.04.2015,19:51, Problemlose und schnelle Abwicklung., Keine negativen Punkte aufgefallen.,10
Inge M.,07.04.2015,18:44," - gute telefonische Erreichbarkeit
- kompetente. nette Beratung
- verständliche Erklärungen", -,8
Willi K.,07.04.2015,13:09, Gute Erreichbarkeit. Zinssatz vergleichsweise o.k., -,10
Walter W.,07.04.2015,12:10, Problemloser Ablauf, -,9
Andreas L.,07.04.2015,11:16, Schnelle Kontoeröffnung, -,10
Linda K.,07.04.2015,11:14, Es lief alles reibungslos und schnell!, Nichts - alles total problemlos.,10
Eriks T.,07.04.2015,11:08, Gute service, -,10
Bjoern H.,07.04.2015,10:40, Unkomplizierte Abwicklung., -,10
Myriel M.,07.04.2015,09:18, ging schnell, nichts,10
Nicole M.,06.04.2015,20:02, die Zinsen, Lange gebraucht bis ich die Unterlagen bekommen,9
Saskia M.,06.04.2015,19:14," Schnell, guter Kundenservice, gute Konditionen, Konten schnell und online abwickelbar! Super!", Zugeschicktes Infomaterial nicht immer ganz eindeutig,9
Hartmut Wolfram R.,05.04.2015,14:24," Sehr guter Service, verständliche Ausführungen, auch per Post.", kein Eintrag.,10
Patrick S.,05.04.2015,11:10," - der telefonische Service, ohne große Wartezeiten wurden die Gespräche entgegengenommen und freundlich, kompetent beantwortet", - die Zinsen werden nicht auf dem Onlinekonto angezeigt,9
Johannes Ludwig S.,05.04.2015,09:39," Anwendungsfreundlichkeit, Schnelligkeit", -,9
